;s[1]
0;-9.247499987985464e-10
1;1.35269449455605e-09
2;-5.586404108446329e-10
3;8.16637788847327e-10
4;-2.695733508590595e-10
5;3.5432992182649633e-10
6;-2.9382073779581694e-11
7;4.553081054551211e-11
8;1.1489257034342812e-10
9;-1.1667641040606342e-10
10;4.115717681193368e-10
11;7.505801386011392e-11
12;1.1489257034342812e-10
13;7.505801386011392e-11
14;-1.1667641040606342e-10
15;4.553081054551211e-11
16;3.54330210995861e-10
17;8.16637632339084e-10
18;1.3526948330135116e-09
19;-1.2112567359368907e-09
20;-1.0292509239985951e-09
21;-1.972080618464553e-10
22;-1.5629697647099178e-09
23;3.3041432837640406e-10
24;-1.7840176860062662e-09
25;5.49445958816145e-10
26;-1.804676963426316e-09
27;5.28604510590797e-10
28;-1.728223108232436e-09
29;5.28604510590797e-10
30;-1.728223108232436e-09
31;5.49445958816145e-10
32;-1.804676963426316e-09
33;3.3041432837640406e-10
34;-1.784016842538069e-09
35;-1.9720806184645547e-10
36;-1.562970397311067e-09
37;-1.2112567359368896e-09
38;-1.0292502913974464e-09
39;-2.9382073779581694e-11
40;-2.6957335085905944e-10
41;-5.586404108446329e-10
42;-9.247499987985464e-10
