;u[0];u[1]
0;0.0;0.0
1;9.01926e-08;3.57811e-08
2;1.76466e-05;0.000218956
3;-1.38517e-05;0.000192871
4;1.41534e-05;0.000215228
5;-1.83996e-05;0.00020082
6;-4.18075e-06;0.000113835
7;1.34721e-06;1.361e-05
8;1.07664e-05;6.65609e-05
9;4.27711e-06;6.4628e-05
10;-2.32003e-07;1.30308e-05
11;9.82467e-06;0.000118442
12;7.54634e-06;0.000196928
13;-1.14776e-05;0.000212979
14;3.69535e-06;0.000189887
15;-1.51171e-05;0.000217067
16;0.0;0.0
17;-1.32049e-07;1.73099e-08
18;2.37033e-05;0.000230264
19;3.12612e-05;0.000180341
20;-1.81217e-05;0.000146931
21;-3.67757e-05;0.000216635
22;0.0;0.0
23;3.12274e-05;0.000202541
24;-3.47386e-05;0.000201389
25;1.2624e-05;0.000194208
26;-1.98357e-05;0.000191841
27;3.17722e-05;0.000213309
28;-3.07575e-05;0.000212352
29;-2.21504e-06;0.000291622
30;-2.43502e-06;0.000204218
31;1.48667e-05;0.000249621
32;-2.24529e-05;0.000260213
33;-6.57576e-06;0.000199867
34;-2.15282e-05;0.000227742
35;1.10716e-05;0.000219286
36;-5.83612e-06;0.000185084
37;2.41784e-05;0.000211505
38;-2.1815e-05;0.000208942
39;1.9377e-05;0.00021161
40;-2.72188e-05;0.000206381
41;7.17916e-06;0.000205533
42;5.39422e-06;0.000186033
43;-5.28357e-06;0.000202898
44;-2.3604e-05;0.000192953
45;3.57304e-05;0.000208413
46;2.40267e-05;0.00020073
47;-3.63909e-05;0.000204658
48;5.68892e-07;7.69332e-08
49;0.0;0.0
50;0.0;0.0
51;-5.83488e-07;-1.37801e-07
52;0.0;0.0
53;3.34038e-07;-2.40233e-08
54;0.0;0.0
55;-2.54829e-07;1.50686e-08
56;0.0;0.0
57;0.0;0.0
58;9.50948e-06;0.000110293
59;6.73733e-06;4.11427e-05
60;1.64906e-07;3.78602e-05
61;1.15204e-05;8.91331e-05
62;5.35687e-06;9.04037e-05
63;0.0;0.0
64;-2.31155e-07;5.76181e-07
65;0.0;0.0
66;-5.86044e-06;0.000270663
67;-3.83488e-06;0.000278911
68;-7.08108e-06;0.000288531
69;4.91827e-07;-6.54645e-08
70;3.64628e-07;2.32501e-08
71;7.74072e-07;1.29056e-07
72;-8.13054e-06;0.000198789
73;-1.05818e-05;0.000202522
74;-1.61014e-05;0.000196787
75;7.72802e-07;0.000230608
76;-6.434e-07;0.000219184
77;2.16979e-05;0.00021944
78;4.42078e-06;2.73483e-05
79;2.85299e-07;1.61348e-05
80;1.54757e-06;2.69643e-05
81;5.24691e-06;7.7832e-05
82;8.39624e-06;7.77895e-05
83;7.63254e-06;6.54736e-05
84;-1.66155e-07;1.02803e-08
85;-3.99174e-07;-3.69232e-08
86;-2.96206e-07;-1.05492e-08
87;1.30604e-06;4.53753e-07
88;0.0;0.0
89;2.08069e-05;0.000214816
90;2.87952e-05;0.000213105
91;2.54874e-05;0.000217365
92;3.46029e-05;0.000207949
93;3.37364e-05;0.000208015
94;3.46072e-05;0.000209176
95;1.06792e-06;0.00019747
96;1.14539e-05;0.000193957
97;1.52761e-05;0.000203173
98;-1.6252e-05;0.000211083
99;-1.32949e-05;0.000214931
100;-1.8363e-05;0.000212669
101;8.65085e-06;0.000208533
102;5.39117e-06;0.000198874
103;1.62353e-05;0.000204011
104;1.41865e-05;0.00018128
105;2.73526e-05;0.000192362
106;-1.19181e-05;0.000220823
107;1.33948e-05;0.000232871
108;-9.1079e-06;0.00023646
109;-1.15201e-05;0.000215201
110;-1.93917e-05;0.000213872
111;-1.09125e-05;0.000151685
112;7.17828e-06;0.000144004
113;3.48091e-05;0.000200571
114;3.31452e-05;0.000206361
115;3.29737e-05;0.00021469
116;4.02049e-06;0.000111227
117;2.554e-05;0.000131257
118;-1.45093e-06;0.000195173
119;-1.34993e-05;0.000195489
120;-8.2697e-06;0.000190133
121;-4.31555e-07;0.000192869
122;9.00734e-06;5.3758e-05
123;3.46833e-06;3.96056e-05
124;5.67318e-06;5.24396e-05
125;-3.69366e-05;0.000205149
126;-3.38615e-05;0.000207259
127;-3.48408e-05;0.000207283
128;-1.91713e-06;3.90316e-06
129;-7.3532e-07;6.7033e-06
130;0.0;0.0
131;7.26298e-07;0.000198377
132;8.37064e-06;0.000207882
133;1.59084e-06;0.000208744
134;8.9718e-06;0.000277658
135;9.13457e-07;6.80818e-06
136;6.03943e-06;0.000101017
137;4.90037e-06;0.000104867
138;4.03221e-06;0.000106972
139;-3.18318e-05;0.000211027
140;-8.67198e-06;0.000212156
141;-2.3439e-05;0.000215739
142;-2.69251e-05;0.000211148
143;-2.91838e-05;0.000195835
144;-2.37379e-05;0.000200537
145;-3.2662e-05;0.000202032
146;-7.07632e-06;0.000167873
147;-1.11414e-05;0.000189174
148;-2.0919e-05;0.000174566
149;5.63306e-06;0.000193386
150;1.87963e-05;0.000213472
151;1.59067e-05;0.000216986
152;-1.48388e-06;0.000247926
153;-2.27201e-05;0.000243253
154;-2.29911e-05;0.000202477
155;-3.02744e-05;0.000206049
156;-3.16155e-05;0.000200794
157;-9.08682e-06;0.0002082
158;-1.42291e-05;0.000206547
159;-1.70628e-05;0.000203851
160;-6.18979e-06;0.000115022
161;2.14352e-06;0.000109355
162;-5.42663e-07;0.000131829
163;3.17401e-05;0.000211212
164;-1.40083e-05;0.000284878
165;-2.85124e-07;0.000195554
166;-1.43581e-05;0.00019792
167;2.37783e-05;0.000197639
168;2.70415e-05;0.000205131
169;-3.9276e-05;0.000206311
170;-3.7247e-05;0.000205609
171;1.15088e-05;0.000210806
172;1.67403e-05;0.000209308
173;1.31671e-05;0.000156384
174;-3.50074e-05;0.000181917
175;-3.70962e-05;0.000199139
176;3.27776e-05;0.000208243
177;2.42418e-05;0.000207082
178;3.31789e-05;0.000204745
179;1.71148e-07;6.88115e-09
180;6.28443e-08;1.67104e-08
181;1.54133e-07;8.47693e-09
182;2.19068e-06;4.66768e-06
183;0.0;0.0
184;-8.67054e-08;9.02622e-09
185;0.0;0.0
186;-8.02329e-08;2.8265e-08
187;0.0;0.0
188;-8.90647e-07;1.13719e-07
189;-1.50571e-06;1.10875e-06
190;2.13711e-07;2.06085e-08
191;0.0;0.0
192;0.0;0.0
193;-1.31343e-07;1.93048e-08
194;0.0;0.0
195;-5.20537e-07;-4.44369e-08
196;0.0;0.0
197;-1.49471e-06;2.5693e-05
198;5.93809e-08;2.64801e-08
199;0.0;0.0
200;-1.5742e-07;1.07022e-08
201;2.49715e-06;5.09111e-05
202;8.40975e-06;8.96579e-05
203;1.17869e-05;7.8351e-05
204;8.54016e-06;9.97976e-05
205;7.83787e-07;1.61608e-06
206;-4.87963e-07;-1.84853e-08
207;4.88054e-08;3.72041e-06
